time,event,group,inflowRate,intelligenceCost,sensingNoise,seed,maxAgents,lookDist
1248,1,1,0.006,0.201000,0,1015,1000,3
1506,1,0,0.006,0.201000,0,1016,1000,3
1248,1,1,0.006,0.201000,0,1016,1000,3
1509,1,0,0.006,0.201000,0,1017,1000,3
1249,1,1,0.006,0.201000,0,1017,1000,3
1525,1,0,0.006,0.201000,0,1018,1000,3
1254,1,1,0.006,0.201000,0,1018,1000,3
1506,1,0,0.006,0.201000,0,1019,1000,3
1248,1,1,0.006,0.201000,0,1019,1000,3
1512,1,0,0.006,0.201000,0,1020,1000,3
1248,1,1,0.006,0.201000,0,1020,1000,3
1508,1,0,0.006,0.201000,0,1021,1000,3
1249,1,1,0.006,0.201000,0,1021,1000,3
1515,1,0,0.006,0.201000,0,1022,1000,3
1248,1,1,0.006,0.201000,0,1022,1000,3
1503,1,0,0.006,0.201000,0,1023,1000,3
1248,1,1,0.006,0.201000,0,1023,1000,3
1505,1,0,0.006,0.201000,0,1024,1000,3
1252,1,1,0.006,0.201000,0,1024,1000,3
1515,1,0,0.006,0.201000,0,1025,1000,3
1248,1,1,0.006,0.201000,0,1025,1000,3
1521,1,0,0.006,0.201000,0,1026,1000,3
1248,1,1,0.006,0.201000,0,1026,1000,3
1513,1,0,0.006,0.201000,0,1027,1000,3
1248,1,1,0.006,0.201000,0,1027,1000,3
1504,1,0,0.006,0.201000,0,1028,1000,3
1248,1,1,0.006,0.201000,0,1028,1000,3
1505,1,0,0.006,0.201000,0,1029,1000,3
1248,1,1,0.006,0.201000,0,1029,1000,3
1507,1,0,0.006,0.201000,0,1030,1000,3
1248,1,1,0.006,0.201000,0,1030,1000,3
1515,1,0,0.006,0.201000,0,1031,1000,3
1280,1,1,0.006,0.201000,0,1031,1000,3
1507,1,0,0.006,0.201000,0,1032,1000,3
1248,1,1,0.006,0.201000,0,1032,1000,3
1510,1,0,0.006,0.201000,0,1033,1000,3
1248,1,1,0.006,0.201000,0,1033,1000,3
1520,1,0,0.006,0.201000,0,1034,1000,3
1252,1,1,0.006,0.201000,0,1034,1000,3
1522,1,0,0.006,0.201000,0,1035,1000,3
1248,1,1,0.006,0.201000,0,1035,1000,3
1511,1,0,0.006,0.201000,0,1036,1000,3
1248,1,1,0.006,0.201000,0,1036,1000,3
1509,1,0,0.006,0.201000,0,1037,1000,3
1250,1,1,0.006,0.201000,0,1037,1000,3
1512,1,0,0.006,0.201000,0,1038,1000,3
1250,1,1,0.006,0.201000,0,1038,1000,3
1511,1,0,0.006,0.201000,0,1039,1000,3
1280,1,1,0.006,0.201000,0,1039,1000,3
1507,1,0,0.006,0.201000,0,1040,1000,3
1249,1,1,0.006,0.201000,0,1040,1000,3
1503,1,0,0.006,0.201000,0,1041,1000,3
1248,1,1,0.006,0.201000,0,1041,1000,3
1521,1,0,0.006,0.201000,0,1042,1000,3
1248,1,1,0.006,0.201000,0,1042,1000,3
1506,1,0,0.006,0.201000,0,1043,1000,3
1248,1,1,0.006,0.201000,0,1043,1000,3
1518,1,0,0.006,0.201000,0,1044,1000,3
1248,1,1,0.006,0.201000,0,1044,1000,3
1506,1,0,0.006,0.201000,0,1045,1000,3
1268,1,1,0.006,0.201000,0,1045,1000,3
1505,1,0,0.006,0.201000,0,1046,1000,3
1248,1,1,0.006,0.201000,0,1046,1000,3
1501,1,0,0.006,0.201000,0,1047,1000,3
1248,1,1,0.006,0.201000,0,1047,1000,3
1511,1,0,0.006,0.201000,0,1048,1000,3
1248,1,1,0.006,0.201000,0,1048,1000,3
1523,1,0,0.006,0.201000,0,1049,1000,3
1250,1,1,0.006,0.201000,0,1049,1000,3
1514,1,0,0.0062,0.200000,0,1000,1000,3
1249,1,1,0.0062,0.200000,0,1000,1000,3
1509,1,0,0.0062,0.200000,0,1001,1000,3
1253,1,1,0.0062,0.200000,0,1001,1000,3
1506,1,0,0.0062,0.200000,0,1002,1000,3
1254,1,1,0.0062,0.200000,0,1002,1000,3
1501,1,0,0.0062,0.200000,0,1003,1000,3
1249,1,1,0.0062,0.200000,0,1003,1000,3
1510,1,0,0.0062,0.200000,0,1004,1000,3
1253,1,1,0.0062,0.200000,0,1004,1000,3
1509,1,0,0.0062,0.200000,0,1005,1000,3
1281,1,1,0.0062,0.200000,0,1005,1000,3
1514,1,0,0.0062,0.200000,0,1006,1000,3
1249,1,1,0.0062,0.200000,0,1006,1000,3
1505,1,0,0.0062,0.200000,0,1007,1000,3
1249,1,1,0.0062,0.200000,0,1007,1000,3
1522,1,0,0.0062,0.200000,0,1008,1000,3
1255,1,1,0.0062,0.200000,0,1008,1000,3
1512,1,0,0.0062,0.200000,0,1009,1000,3
1249,1,1,0.0062,0.200000,0,1009,1000,3
1505,1,0,0.0062,0.200000,0,1010,1000,3
1256,1,1,0.0062,0.200000,0,1010,1000,3
1502,1,0,0.0062,0.200000,0,1011,1000,3
1250,1,1,0.0062,0.200000,0,1011,1000,3
1509,1,0,0.0062,0.200000,0,1012,1000,3
1249,1,1,0.0062,0.200000,0,1012,1000,3
1508,1,0,0.0062,0.200000,0,1013,1000,3
1249,1,1,0.0062,0.200000,0,1013,1000,3
1516,1,0,0.0062,0.200000,0,1014,1000,3
1269,1,1,0.0062,0.200000,0,1014,1000,3
1507,1,0,0.0062,0.200000,0,1015,1000,3
1249,1,1,0.0062,0.200000,0,1015,1000,3
1506,1,0,0.0062,0.200000,0,1016,1000,3
1249,1,1,0.0062,0.200000,0,1016,1000,3
1510,1,0,0.0062,0.200000,0,1017,1000,3
1250,1,1,0.0062,0.200000,0,1017,1000,3
1526,1,0,0.0062,0.200000,0,1018,1000,3
1255,1,1,0.0062,0.200000,0,1018,1000,3
1506,1,0,0.0062,0.200000,0,1019,1000,3
1249,1,1,0.0062,0.200000,0,1019,1000,3
1512,1,0,0.0062,0.200000,0,1020,1000,3
1249,1,1,0.0062,0.200000,0,1020,1000,3
1508,1,0,0.0062,0.200000,0,1021,1000,3
1250,1,1,0.0062,0.200000,0,1021,1000,3
1515,1,0,0.0062,0.200000,0,1022,1000,3
1249,1,1,0.0062,0.200000,0,1022,1000,3
1503,1,0,0.0062,0.200000,0,1023,1000,3
1249,1,1,0.0062,0.200000,0,1023,1000,3
1505,1,0,0.0062,0.200000,0,1024,1000,3
1254,1,1,0.0062,0.200000,0,1024,1000,3
1515,1,0,0.0062,0.200000,0,1025,1000,3
1249,1,1,0.0062,0.200000,0,1025,1000,3
1521,1,0,0.0062,0.200000,0,1026,1000,3
1249,1,1,0.0062,0.200000,0,1026,1000,3
1513,1,0,0.0062,0.200000,0,1027,1000,3
1249,1,1,0.0062,0.200000,0,1027,1000,3
1504,1,0,0.0062,0.200000,0,1028,1000,3
1249,1,1,0.0062,0.200000,0,1028,1000,3
1505,1,0,0.0062,0.200000,0,1029,1000,3
1249,1,1,0.0062,0.200000,0,1029,1000,3
1507,1,0,0.0062,0.200000,0,1030,1000,3
1249,1,1,0.0062,0.200000,0,1030,1000,3
1515,1,0,0.0062,0.200000,0,1031,1000,3
1282,1,1,0.0062,0.200000,0,1031,1000,3
1507,1,0,0.0062,0.200000,0,1032,1000,3
1249,1,1,0.0062,0.200000,0,1032,1000,3
1510,1,0,0.0062,0.200000,0,1033,1000,3
1249,1,1,0.0062,0.200000,0,1033,1000,3
1521,1,0,0.0062,0.200000,0,1034,1000,3
1253,1,1,0.0062,0.200000,0,1034,1000,3
1523,1,0,0.0062,0.200000,0,1035,1000,3
1249,1,1,0.0062,0.200000,0,1035,1000,3
1511,1,0,0.0062,0.200000,0,1036,1000,3
1249,1,1,0.0062,0.200000,0,1036,1000,3
1509,1,0,0.0062,0.200000,0,1037,1000,3
1251,1,1,0.0062,0.200000,0,1037,1000,3
1512,1,0,0.0062,0.200000,0,1038,1000,3
1251,1,1,0.0062,0.200000,0,1038,1000,3
1511,1,0,0.0062,0.200000,0,1039,1000,3
1282,1,1,0.0062,0.200000,0,1039,1000,3
1507,1,0,0.0062,0.200000,0,1040,1000,3
1251,1,1,0.0062,0.200000,0,1040,1000,3
1503,1,0,0.0062,0.200000,0,1041,1000,3
1249,1,1,0.0062,0.200000,0,1041,1000,3
1522,1,0,0.0062,0.200000,0,1042,1000,3
1250,1,1,0.0062,0.200000,0,1042,1000,3
1506,1,0,0.0062,0.200000,0,1043,1000,3
1249,1,1,0.0062,0.200000,0,1043,1000,3
1518,1,0,0.0062,0.200000,0,1044,1000,3
1249,1,1,0.0062,0.200000,0,1044,1000,3
1506,1,0,0.0062,0.200000,0,1045,1000,3
1270,1,1,0.0062,0.200000,0,1045,1000,3
1506,1,0,0.0062,0.200000,0,1046,1000,3
1249,1,1,0.0062,0.200000,0,1046,1000,3
1501,1,0,0.0062,0.200000,0,1047,1000,3
1249,1,1,0.0062,0.200000,0,1047,1000,3
1511,1,0,0.0062,0.200000,0,1048,1000,3
1249,1,1,0.0062,0.200000,0,1048,1000,3
1524,1,0,0.0062,0.200000,0,1049,1000,3
1251,1,1,0.0062,0.200000,0,1049,1000,3
1514,1,0,0.0062,0.201000,0,1000,1000,3
1248,1,1,0.0062,0.201000,0,1000,1000,3
1509,1,0,0.0062,0.201000,0,1001,1000,3
1252,1,1,0.0062,0.201000,0,1001,1000,3
1506,1,0,0.0062,0.201000,0,1002,1000,3
1253,1,1,0.0062,0.201000,0,1002,1000,3
1501,1,0,0.0062,0.201000,0,1003,1000,3
1248,1,1,0.0062,0.201000,0,1003,1000,3
1510,1,0,0.0062,0.201000,0,1004,1000,3
1252,1,1,0.0062,0.201000,0,1004,1000,3
1509,1,0,0.0062,0.201000,0,1005,1000,3
1280,1,1,0.0062,0.201000,0,1005,1000,3
1514,1,0,0.0062,0.201000,0,1006,1000,3
1248,1,1,0.0062,0.201000,0,1006,1000,3
1505,1,0,0.0062,0.201000,0,1007,1000,3
1248,1,1,0.0062,0.201000,0,1007,1000,3
1522,1,0,0.0062,0.201000,0,1008,1000,3
1254,1,1,0.0062,0.201000,0,1008,1000,3
1512,1,0,0.0062,0.201000,0,1009,1000,3
1248,1,1,0.0062,0.201000,0,1009,1000,3
1505,1,0,0.0062,0.201000,0,1010,1000,3
1255,1,1,0.0062,0.201000,0,1010,1000,3
1502,1,0,0.0062,0.201000,0,1011,1000,3
1249,1,1,0.0062,0.201000,0,1011,1000,3
1509,1,0,0.0062,0.201000,0,1012,1000,3
1248,1,1,0.0062,0.201000,0,1012,1000,3
1508,1,0,0.0062,0.201000,0,1013,1000,3
1248,1,1,0.0062,0.201000,0,1013,1000,3
1516,1,0,0.0062,0.201000,0,1014,1000,3
1268,1,1,0.0062,0.201000,0,1014,1000,3
1507,1,0,0.0062,0.201000,0,1015,1000,3
1248,1,1,0.0062,0.201000,0,1015,1000,3
1506,1,0,0.0062,0.201000,0,1016,1000,3
1248,1,1,0.0062,0.201000,0,1016,1000,3
1510,1,0,0.0062,0.201000,0,1017,1000,3
1249,1,1,0.0062,0.201000,0,1017,1000,3
1526,1,0,0.0062,0.201000,0,1018,1000,3
1254,1,1,0.0062,0.201000,0,1018,1000,3
1506,1,0,0.0062,0.201000,0,1019,1000,3
1248,1,1,0.0062,0.201000,0,1019,1000,3
1512,1,0,0.0062,0.201000,0,1020,1000,3
1248,1,1,0.0062,0.201000,0,1020,1000,3
1508,1,0,0.0062,0.201000,0,1021,1000,3
1249,1,1,0.0062,0.201000,0,1021,1000,3
1515,1,0,0.0062,0.201000,0,1022,1000,3
1248,1,1,0.0062,0.201000,0,1022,1000,3
1503,1,0,0.0062,0.201000,0,1023,1000,3
1248,1,1,0.0062,0.201000,0,1023,1000,3
1505,1,0,0.0062,0.201000,0,1024,1000,3
1253,1,1,0.0062,0.201000,0,1024,1000,3
1515,1,0,0.0062,0.201000,0,1025,1000,3
1248,1,1,0.0062,0.201000,0,1025,1000,3
1521,1,0,0.0062,0.201000,0,1026,1000,3
1248,1,1,0.0062,0.201000,0,1026,1000,3
1513,1,0,0.0062,0.201000,0,1027,1000,3
1248,1,1,0.0062,0.201000,0,1027,1000,3
1504,1,0,0.0062,0.201000,0,1028,1000,3
1248,1,1,0.0062,0.201000,0,1028,1000,3
1505,1,0,0.0062,0.201000,0,1029,1000,3
1248,1,1,0.0062,0.201000,0,1029,1000,3
1507,1,0,0.0062,0.201000,0,1030,1000,3
1248,1,1,0.0062,0.201000,0,1030,1000,3
1515,1,0,0.0062,0.201000,0,1031,1000,3
1281,1,1,0.0062,0.201000,0,1031,1000,3
1507,1,0,0.0062,0.201000,0,1032,1000,3
1248,1,1,0.0062,0.201000,0,1032,1000,3
1510,1,0,0.0062,0.201000,0,1033,1000,3
1248,1,1,0.0062,0.201000,0,1033,1000,3
1521,1,0,0.0062,0.201000,0,1034,1000,3
1252,1,1,0.0062,0.201000,0,1034,1000,3
1523,1,0,0.0062,0.201000,0,1035,1000,3
1248,1,1,0.0062,0.201000,0,1035,1000,3
1511,1,0,0.0062,0.201000,0,1036,1000,3
1248,1,1,0.0062,0.201000,0,1036,1000,3
1509,1,0,0.0062,0.201000,0,1037,1000,3
1250,1,1,0.0062,0.201000,0,1037,1000,3
1512,1,0,0.0062,0.201000,0,1038,1000,3
1250,1,1,0.0062,0.201000,0,1038,1000,3
1511,1,0,0.0062,0.201000,0,1039,1000,3
1281,1,1,0.0062,0.201000,0,1039,1000,3
1507,1,0,0.0062,0.201000,0,1040,1000,3
1250,1,1,0.0062,0.201000,0,1040,1000,3
1503,1,0,0.0062,0.201000,0,1041,1000,3
1248,1,1,0.0062,0.201000,0,1041,1000,3
1522,1,0,0.0062,0.201000,0,1042,1000,3
1249,1,1,0.0062,0.201000,0,1042,1000,3
1506,1,0,0.0062,0.201000,0,1043,1000,3
1248,1,1,0.0062,0.201000,0,1043,1000,3
1518,1,0,0.0062,0.201000,0,1044,1000,3
1248,1,1,0.0062,0.201000,0,1044,1000,3
1506,1,0,0.0062,0.201000,0,1045,1000,3
1269,1,1,0.0062,0.201000,0,1045,1000,3
1506,1,0,0.0062,0.201000,0,1046,1000,3
1248,1,1,0.0062,0.201000,0,1046,1000,3
1501,1,0,0.0062,0.201000,0,1047,1000,3
1248,1,1,0.0062,0.201000,0,1047,1000,3
1511,1,0,0.0062,0.201000,0,1048,1000,3
1248,1,1,0.0062,0.201000,0,1048,1000,3
1524,1,0,0.0062,0.201000,0,1049,1000,3
1250,1,1,0.0062,0.201000,0,1049,1000,3
1514,1,0,0.0064,0.200000,0,1000,1000,3
1249,1,1,0.0064,0.200000,0,1000,1000,3
1509,1,0,0.0064,0.200000,0,1001,1000,3
1254,1,1,0.0064,0.200000,0,1001,1000,3
1506,1,0,0.0064,0.200000,0,1002,1000,3
1254,1,1,0.0064,0.200000,0,1002,1000,3
1501,1,0,0.0064,0.200000,0,1003,1000,3
1249,1,1,0.0064,0.200000,0,1003,1000,3
1511,1,0,0.0064,0.200000,0,1004,1000,3
1253,1,1,0.0064,0.200000,0,1004,1000,3
1509,1,0,0.0064,0.200000,0,1005,1000,3
1282,1,1,0.0064,0.200000,0,1005,1000,3
1514,1,0,0.0064,0.200000,0,1006,1000,3
1249,1,1,0.0064,0.200000,0,1006,1000,3
1505,1,0,0.0064,0.200000,0,1007,1000,3
1249,1,1,0.0064,0.200000,0,1007,1000,3
1523,1,0,0.0064,0.200000,0,1008,1000,3
1255,1,1,0.0064,0.200000,0,1008,1000,3
1512,1,0,0.0064,0.200000,0,1009,1000,3
1249,1,1,0.0064,0.200000,0,1009,1000,3
1505,1,0,0.0064,0.200000,0,1010,1000,3
1256,1,1,0.0064,0.200000,0,1010,1000,3
1502,1,0,0.0064,0.200000,0,1011,1000,3
1250,1,1,0.0064,0.200000,0,1011,1000,3
1510,1,0,0.0064,0.200000,0,1012,1000,3
1249,1,1,0.0064,0.200000,0,1012,1000,3
1508,1,0,0.0064,0.200000,0,1013,1000,3
1249,1,1,0.0064,0.200000,0,1013,1000,3
1516,1,0,0.0064,0.200000,0,1014,1000,3
1270,1,1,0.0064,0.200000,0,1014,1000,3
1507,1,0,0.0064,0.200000,0,1015,1000,3
1249,1,1,0.0064,0.200000,0,1015,1000,3
1506,1,0,0.0064,0.200000,0,1016,1000,3
1249,1,1,0.0064,0.200000,0,1016,1000,3
1510,1,0,0.0064,0.200000,0,1017,1000,3
1250,1,1,0.0064,0.200000,0,1017,1000,3
1526,1,0,0.0064,0.200000,0,1018,1000,3
1256,1,1,0.0064,0.200000,0,1018,1000,3
1506,1,0,0.0064,0.200000,0,1019,1000,3
1249,1,1,0.0064,0.200000,0,1019,1000,3
1513,1,0,0.0064,0.200000,0,1020,1000,3
1249,1,1,0.0064,0.200000,0,1020,1000,3
1509,1,0,0.0064,0.200000,0,1021,1000,3
1250,1,1,0.0064,0.200000,0,1021,1000,3
1516,1,0,0.0064,0.200000,0,1022,1000,3
1249,1,1,0.0064,0.200000,0,1022,1000,3
1503,1,0,0.0064,0.200000,0,1023,1000,3
1249,1,1,0.0064,0.200000,0,1023,1000,3
1505,1,0,0.0064,0.200000,0,1024,1000,3
1254,1,1,0.0064,0.200000,0,1024,1000,3
1516,1,0,0.0064,0.200000,0,1025,1000,3
1249,1,1,0.0064,0.200000,0,1025,1000,3
1522,1,0,0.0064,0.200000,0,1026,1000,3
1249,1,1,0.0064,0.200000,0,1026,1000,3
1514,1,0,0.0064,0.200000,0,1027,1000,3
1249,1,1,0.0064,0.200000,0,1027,1000,3
1504,1,0,0.0064,0.200000,0,1028,1000,3
1249,1,1,0.0064,0.200000,0,1028,1000,3
1506,1,0,0.0064,0.200000,0,1029,1000,3
1249,1,1,0.0064,0.200000,0,1029,1000,3
1507,1,0,0.0064,0.200000,0,1030,1000,3
1249,1,1,0.0064,0.200000,0,1030,1000,3
1516,1,0,0.0064,0.200000,0,1031,1000,3
1283,1,1,0.0064,0.200000,0,1031,1000,3
1507,1,0,0.0064,0.200000,0,1032,1000,3
1249,1,1,0.0064,0.200000,0,1032,1000,3
1510,1,0,0.0064,0.200000,0,1033,1000,3
1249,1,1,0.0064,0.200000,0,1033,1000,3
1522,1,0,0.0064,0.200000,0,1034,1000,3
1253,1,1,0.0064,0.200000,0,1034,1000,3
1523,1,0,0.0064,0.200000,0,1035,1000,3
1249,1,1,0.0064,0.200000,0,1035,1000,3
1512,1,0,0.0064,0.200000,0,1036,1000,3
1249,1,1,0.0064,0.200000,0,1036,1000,3
1509,1,0,0.0064,0.200000,0,1037,1000,3
1252,1,1,0.0064,0.200000,0,1037,1000,3
1513,1,0,0.0064,0.200000,0,1038,1000,3
1252,1,1,0.0064,0.200000,0,1038,1000,3
1512,1,0,0.0064,0.200000,0,1039,1000,3
1283,1,1,0.0064,0.200000,0,1039,1000,3
1507,1,0,0.0064,0.200000,0,1040,1000,3
1251,1,1,0.0064,0.200000,0,1040,1000,3
1503,1,0,0.0064,0.200000,0,1041,1000,3
1249,1,1,0.0064,0.200000,0,1041,1000,3
1523,1,0,0.0064,0.200000,0,1042,1000,3
1250,1,1,0.0064,0.200000,0,1042,1000,3
1506,1,0,0.0064,0.200000,0,1043,1000,3
1249,1,1,0.0064,0.200000,0,1043,1000,3
1519,1,0,0.0064,0.200000,0,1044,1000,3
1249,1,1,0.0064,0.200000,0,1044,1000,3
1506,1,0,0.0064,0.200000,0,1045,1000,3
1271,1,1,0.0064,0.200000,0,1045,1000,3
1506,1,0,0.0064,0.200000,0,1046,1000,3
1249,1,1,0.0064,0.200000,0,1046,1000,3
1501,1,0,0.0064,0.200000,0,1047,1000,3
1249,1,1,0.0064,0.200000,0,1047,1000,3
1512,1,0,0.0064,0.200000,0,1048,1000,3
1249,1,1,0.0064,0.200000,0,1048,1000,3
1524,1,0,0.0064,0.200000,0,1049,1000,3
1251,1,1,0.0064,0.200000,0,1049,1000,3
1514,1,0,0.0064,0.201000,0,1000,1000,3
1248,1,1,0.0064,0.201000,0,1000,1000,3
1509,1,0,0.0064,0.201000,0,1001,1000,3
1252,1,1,0.0064,0.201000,0,1001,1000,3
1506,1,0,0.0064,0.201000,0,1002,1000,3
1253,1,1,0.0064,0.201000,0,1002,1000,3
1501,1,0,0.0064,0.201000,0,1003,1000,3
1248,1,1,0.0064,0.201000,0,1003,1000,3
1511,1,0,0.0064,0.201000,0,1004,1000,3
1252,1,1,0.0064,0.201000,0,1004,1000,3
1509,1,0,0.0064,0.201000,0,1005,1000,3
1281,1,1,0.0064,0.201000,0,1005,1000,3
1514,1,0,0.0064,0.201000,0,1006,1000,3
1248,1,1,0.0064,0.201000,0,1006,1000,3
1505,1,0,0.0064,0.201000,0,1007,1000,3
1248,1,1,0.0064,0.201000,0,1007,1000,3
1523,1,0,0.0064,0.201000,0,1008,1000,3
1254,1,1,0.0064,0.201000,0,1008,1000,3
1512,1,0,0.0064,0.201000,0,1009,1000,3
1248,1,1,0.0064,0.201000,0,1009,1000,3
1505,1,0,0.0064,0.201000,0,1010,1000,3
1255,1,1,0.0064,0.201000,0,1010,1000,3
